,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
11,,121301.0,,9,,Setneg kepada Mr. Surjotjondro: Telegram No. 472/K-48 tgl. 23 Maret 1948 tentang permohonan ruangan besar untuk kantor para Koordinator Kementerian Kemakmuran.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
12,,121301.0,,10,,Telegram dari Pejabatan Kantor Radio-BC tgl. 24 Juni 1948 tentang telegram-telegram yang tidak sampai.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Turunan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
13,,121301.0,,11,,Surjotjondro kepada Setneg: Telegram No. 549/di/48 tgl. 28 Juni 1948 tentang inventaris barang Gedung Pegangsaan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
14,,121301.0,,12,,Jadwal Perhubungan Kawat Jakarta-Jogjakarta tgl. 28 Juli 1948.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
15,,121301.0,,13,,Telegram-telegram tgl. 19 Februari 1948-20 Agustus 1948 tentang pengiriman barang.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
16,,121301.0,,14,,Sekretaris Delegasi kepada Setneg: Surat tgl. 20 Mei 1949 tentang kantor-kantor di Kepatihan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
17,,121301.0,,15,,Surat-surat tgl. 12 Mei 1947-9 Juli 1949 tentang cara pengiriman kawat/telegram.,Item,8 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
18,,121301.0,,16,,Intedance Presidenan: Surat tgl. 29 Juli 1949 tentang permintaan disediakan kopi.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
19,,121301.0,,17,,Kepala Muda Penjabatan Bea dan Cukai kepada Setneg: Surat tgl. 19 Agustus 1949 tentang pembukaan kembali Kantor Besar Penjabatan Bea dan Cukai.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
20,,121301.0,,18,,Jawatan Pos Telegrap dan Telepon RI: Surat-surat tgl. 8 Agustus 1949-19 September 1949 tentang pemasangan sambungan telepon.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
21,,121301.0,,19,,"Parmadipura kepada Ngatidjo, pegawai Kantor Intendance Istana Presiden: Surat tanda terima penyerahan barang-barang tgl. 12 Oktober 1949.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
22,,121301.0,,20,,Surat-surat tgl. 14 Desember 1948-13 Oktober 1949 tentang perwakilan/pelimpahan jabatan dari berbagai kementerian.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
23,,121301.0,,21,,"Pengadilan Tinggi Jogja kepada Presiden: Surat tgl. 15 Oktober 1949 tentang permintaan gedung untuk Pengadilan Tinggi Jogjakarta, disertai surat pengantar 26 Oktober 1949.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
24,,121301.0,,22,,Setneg kepada Kementerian Penerangan: Surat-surat tgl. 18 Oktober 1949 tentang peminjaman alat pengeras suara.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
25,,121301.0,,23,,Perusahaan Tembako Indonesia: Surat-menyurat tgl. 19 Oktober 1949-26 Oktober 1949 tentang pesanan rokok.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
26,,121301.0,,24,,Surat-surat tgl. 1 April 1947-11 November 1949 tentang penggunaan cap/stempel.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
27,,121301.0,,25,,Pimpinan Tata Usaha Koperasi Perusahaan Pemborongan SEPERTI di Jakarta kepada Presiden: Surat tgl. 14 November 1949 tentang permohonan mendapat pekerjaan memperbaiki istana.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
28,,121301.0,,26,,Surat-surat tgl. 22 November 1948-23 November 1949 tentang perlengkapan di Istana Presiden.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
29,,121301.0,,27,,Surat-surat tgl. 27 Februari 1948-26 November 1949 tentang pengadaan perlengkapan pada Kantor Setneg.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
30,,121301.0,,28,,Setneg kepada Soetopo di Jawatan Gedung-gedung: Nota tgl. 26 November 1949 tentang perbaikan pada Kantor Setneg.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
31,,121301.0,,29,,Surat-surat tgl. 11 Juni 1947-1 Desember 1949 tentang nama-nama pejabat dan orang terkemuka dari berbagai Kementerian.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
32,,121301.0,,30,,Daftar surat-surat masuk tgl. 29 November 1949-5 Desember 1949.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
33,,121301.0,,31,,Surat-surat pengantar tgl. 10 Januari 1946-15 Desember 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
34,,121301.0,,32,,Surat-surat tgl. 6 Februari 1948-21 Desember 1949 tentang alamat-alamat kantor.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
35,,121301.0,,33,,Surat-surat tgl. 27 Mei-21 Desember 1949 tentang kendaraan bermotor.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
36,121302.0,121300.0,,0,,B. KEPEGAWAIAN,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
37,,121302.0,,34,,Prof. Asikin kepada Setneg: Telegram tgl. 17 Agustus 1948 tentang pemberitahuan sakit.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
38,,121302.0,,35,,Daftar pegawai dan gaji pegawai Setneg tgl. 19 Juli 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
39,,121302.0,,36,,Surat-surat tgl. 11 Juli 1949 dan 20 Agustus 1949 tentang pemberitahuan pegawai Setneg.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
40,,121302.0,,37,,Daftar Penetapan Pemberhentian Pegawai Setneg (Presidenan) no. 6/U.P./49 tgl. 23 Agustus 1949.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
41,,121302.0,,38,,"Yusuf Surjoprayitno, pegawai Setneg kepada Setneg: Surat tgl. 5 Oktober 1949 tentang permohonan perpanjangan waktu libur.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
42,,121302.0,,39,,Daftar Riwayat Hidup Pegawai Setneg tgl. 1 April 1947-8 Oktober 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep, salinan",,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,,,,,Sekretariat Negara,,,id
43,,121302.0,,40,,"Kementerian Perburuhan dan Sosial: Surat tgl. 9 November 1949 tentang pegawai Setneg yang ikut kursus administrasi pegawai rendah, disertai lampiran.",Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
44,,121302.0,,41,,"Surat-surat Keterangan Pegawai Setneg berkenaan dengan tugas kantor, 29 September 1948-24 Desember 1949.",Item,10 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
45,121303.0,121300.0,,0,,C. KEUANGAN,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
46,,121303.0,,42,,Daftar Ongkos Perjalanan Pegawai Setneg tgl. 15 Oktober 1947-3 November 1947.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
47,,121303.0,,43,,Setneg kepada Kementerian Keuangan: Surat tgl. 15 Desember 1948 tentang pengiriman rencana anggaran belanja tahun 1949.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
48,,121303.0,,44,,Kepala Intendance Istana Presidenan: Daftar pemasukan dan pengeluaran uang untuk peryaan 17 Agustus 1949 di Istana Presidenan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
49,,121303.0,,45,,Pembangungan-OpBOW: Bon-bon pembelian bulan Oktober 1949 tentang pembelian barang.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
50,,121303.0,,46,,Ny. Kasm (?) kepada Setneg: Surat Desember 1949 tentang permohonan mendapat uang gaji bulan November dan Desember 1949.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
51,,121303.0,,47,,Kementerian Keuangan kepada Setneg: Surat tgl. 20 Desember 1949 tentang kredit Setneg pada Bank Negara Indonesia.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
52,,121303.0,,48,,Setneg kepada Kementerian Keuangan: Surat-surat tgl. 12 Juli 1949-21 Februari 1950 tentang permintaan kredit anggaran kepada Kementerian Keuangan.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
53,121304.0,121300.0,,0,,D. HUBUNGAN MASYARAKAT,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
54,121305.0,121304.0,,0,,1. Protokoler,,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
55,,121305.0,,49,,Menteri Luar Negeri kepada Kolonel Vanderpost d/a Setneg di Jogjakarta: Telegram no. 551/11/47=S tgl. 21 April 1947 tentang pergantian tanggan keberangkatan kapal yang meninggalkan Kolombo.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,,,,,Sekretariat Negara,,,id
56,,121305.0,,50,,Presiden kepada Presiden Negara Indonesia Timur: Surat tgl. 28 Februari 1948 tentang kunjungan Komisi Parlementer Negara Indonesia Timur.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
57,,121305.0,,51,,Panglima Tertinggi Angkatan Perang RI kepada Panglima Besar Angkatan Perang Mobil: Surat Perintah No. 6/P.T./48 tgl. 25 Maret 1948 tentang rencana makan malam bersama dengan Opsir-opsir dari Staf Angkatan Perang Mobil di Presidenan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
58,,121305.0,,52,,Daftar-daftar Pembesar yang diundang pada Jamuan Makan Malam di Presidenan tgl. 17 Juli 1949 menyambut Dr. Van Royen cs.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
59,,121305.0,,53,,Panitia Pusat Peringatan 17 Agustus 1949 kepada Ajudan Presiden: Surat tgl. 15 Agustus 1949 tentang pelayan-pelayan untuk Jamuan Resepsi tgl 17 Agustus 1949 malam.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
60,,121305.0,,54,,Mr. Iwa Kusuma Sumatri kepada Setneg: Surat-menyurat tgl. 17 dan 18 Agustus 1949 tentang penolakan Nyonya Iwa Kusuma Sumatri menghadiri Upacara Bendera.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
61,,121305.0,,55,,Sekretaris Dewan Menteri kepada Badan Pekerja Nasional Pusat: Surat-menyurat tgl. 23 dan 24 September 1949 tentang penyambutan Anggota Kongres USA.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
62,,121305.0,,56,,Surat-surat dan Telegram tgl. 29 April 1948-29 September 1949 tentang peringatan dan ucapan selamat hari-hari besar.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
63,,121305.0,,57,,Rencana Press Release berhubung dengan Hari Angkatan Perang RI tgl. 1 Oktober 1949.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,,,,,Sekretariat Negara,,,id
64,,121305.0,,58,,Surat-surat dan telegram-telegram tgl. 12 Februari 1948-6 Oktober 1949 tentang kunjungan-kunjungan ke daerah.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
65,,121305.0,,59,,Pimpinan Redaksi Harian Pagi Nasional kepada Presiden: Surat tgl. 31 Oktober 1949 tentang Hari Ulang Tahun ke-3 Harian Pagi Nasional.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
66,,121305.0,,60,,Surat-surat dan telegram-telegram tgl. 21 Maret 1948-1949 tentang pemberitahuan meninggal dunia dan ucapan turut berduka-cita.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
67,,121305.0,,61,,"Surat-surat dan telegram-telegram tgl. 4 Juni 1946-16 Desember 1949 tentang undangan-undangan kenegaraan, resepsi dan pertunjukan amal.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
68,121306.0,121304.0,,0,,2. Hubungan Pribadi,,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
69,,121306.0,,62,,Rencana pekerjaan yang dapat dikerjakan di Daerah Kediri yang dibuat oleh Karmidi di Kediri tgl. 39 Januari 1948.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Turunan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
70,,121306.0,,63,,"M. Djoni, bekas Internering dari Boven Digul tahun 1939: Surat tgl. 15 Februari 1948 tentang ikut rombongan Pemerintah RI dengan kapal terbang ke Medan.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
71,,121306.0,,64,,Surat-surat dan Telegram-telegram tgl. 4 Agustus 1948-14 Agustus 1948 tentang ucapan Selamat Hari Raya Idul Fitri.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
72,,121306.0,,65,,Telegram-telegram tgl. 15 Juni 1948-15 Oktober 1948 tentang Keluarga Mr. Ratmoko.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, tembusan",,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
73,,121306.0,,66,,Arifin Harahap kepada Setneg: Telegram No. 1044/s/Del. tgl. 20 Oktober 1948 tentang permohonan alamat anaknya Dr. Soeatmadji.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
74,,121306.0,,67,,A. Ruslan di Jln. Karang Anyar No. 23 Sampit Kalimantan kepada Setneg: Surat tahun 1949 tentang permintaan gambar-gambar orang terkemuka dari RIS.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,N.B.: Tanpa tanggal,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
75,,121306.0,,68,,"Wakil Komisaris Besar Umum/Pemimpin Penuntun Cabang Jakarta kepada Presiden: Surat, tgl. 2 Agustus 1949 tentang permohonan untuk mendapat hadiah korek-api dengan tanda dari Presiden untuk digunakan menyalakan Unggun Api Merdeka.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
76,,121306.0,,69,,"Sutjipto Hargonotedjo di Kranggan Jogjakarta kepada Presiden: Surat tgl. 17 Agustus 1949 tentang Anggaran Dasar Negara RI, disertai lampiran.",Item,8 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
