"referenceCode","legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","levelOfDescription","extentAndMedium","repository","archivalHistory","acquisition","scopeAndContent","appraisal","accruals","arrangement","accessConditions","reproductionConditions","language","script","languageNote","physicalCharacteristics","findingAids","locationOfOriginals","locationOfCopies","relatedUnitsOfDescription","publicationNote","digitalObjectURI","digitalObjectChecksum","generalNote","subjectAccessPoints","placeAccessPoints","nameAccessPoints","genreAccessPoints","descriptionIdentifier","institutionIdentifier","rules","descriptionStatus","levelOfDetail","revisionHistory","languageOfDescription","scriptOfDescription","sources","archivistNote","publicationStatus","physicalObjectName","physicalObjectLocation","physicalObjectType","alternativeIdentifiers","alternativeIdentifierLabels","eventDates","eventTypes","eventStartDates","eventEndDates","eventDescriptions","eventActors","eventActorHistories","eventPlaces","culture"
"SeknegRi",121299,,,,,"Sekretariat Negara Republik Indonesia 1945-1949","Fonds",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,"Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949",,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"47",,121303,,"47",,"Kementerian Keuangan kepada Setneg: Surat tgl. 20 Desember 1949 tentang kredit Setneg pada Bank Negara Indonesia.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"48",,121303,,"48",,"Setneg kepada Kementerian Keuangan: Surat-surat tgl. 12 Juli 1949-21 Februari 1950 tentang permintaan kredit anggaran kepada Kementerian Keuangan.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121304,121300,,,,"D. HUBUNGAN MASYARAKAT","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121305,121304,,,,"1. Protokoler",,,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"49",,121305,,"49",,"Menteri Luar Negeri kepada Kolonel Vanderpost d/a Setneg di Jogjakarta: Telegram no. 551/11/47=S tgl. 21 April 1947 tentang pergantian tanggan keberangkatan kapal yang meninggalkan Kolombo.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"50",,121305,,"50",,"Presiden kepada Presiden Negara Indonesia Timur: Surat tgl. 28 Februari 1948 tentang kunjungan Komisi Parlementer Negara Indonesia Timur.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"51",,121305,,"51",,"Panglima Tertinggi Angkatan Perang RI kepada Panglima Besar Angkatan Perang Mobil: Surat Perintah No. 6/P.T./48 tgl. 25 Maret 1948 tentang rencana makan malam bersama dengan Opsir-opsir dari Staf Angkatan Perang Mobil di Presidenan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"52",,121305,,"52",,"Daftar-daftar Pembesar yang diundang pada Jamuan Makan Malam di Presidenan tgl. 17 Juli 1949 menyambut Dr. Van Royen cs.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"53",,121305,,"53",,"Panitia Pusat Peringatan 17 Agustus 1949 kepada Ajudan Presiden: Surat tgl. 15 Agustus 1949 tentang pelayan-pelayan untuk Jamuan Resepsi tgl 17 Agustus 1949 malam.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"54",,121305,,"54",,"Mr. Iwa Kusuma Sumatri kepada Setneg: Surat-menyurat tgl. 17 dan 18 Agustus 1949 tentang penolakan Nyonya Iwa Kusuma Sumatri menghadiri Upacara Bendera.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"55",,121305,,"55",,"Sekretaris Dewan Menteri kepada Badan Pekerja Nasional Pusat: Surat-menyurat tgl. 23 dan 24 September 1949 tentang penyambutan Anggota Kongres USA.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"56",,121305,,"56",,"Surat-surat dan Telegram tgl. 29 April 1948-29 September 1949 tentang peringatan dan ucapan selamat hari-hari besar.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"57",,121305,,"57",,"Rencana Press Release berhubung dengan Hari Angkatan Perang RI tgl. 1 Oktober 1949.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"58",,121305,,"58",,"Surat-surat dan telegram-telegram tgl. 12 Februari 1948-6 Oktober 1949 tentang kunjungan-kunjungan ke daerah.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"59",,121305,,"59",,"Pimpinan Redaksi Harian Pagi Nasional kepada Presiden: Surat tgl. 31 Oktober 1949 tentang Hari Ulang Tahun ke-3 Harian Pagi Nasional.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"60",,121305,,"60",,"Surat-surat dan telegram-telegram tgl. 21 Maret 1948-1949 tentang pemberitahuan meninggal dunia dan ucapan turut berduka-cita.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"61",,121305,,"61",,"Surat-surat dan telegram-telegram tgl. 4 Juni 1946-16 Desember 1949 tentang undangan-undangan kenegaraan, resepsi dan pertunjukan amal.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121306,121304,,,,"2. Hubungan Pribadi",,,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
