,referenceCode,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
38,35,,121302.0,,35.0,,Daftar pegawai dan gaji pegawai Setneg tgl. 19 Juli 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
39,36,,121302.0,,36.0,,Surat-surat tgl. 11 Juli 1949 dan 20 Agustus 1949 tentang pemberitahuan pegawai Setneg.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
40,37,,121302.0,,37.0,,Daftar Penetapan Pemberhentian Pegawai Setneg (Presidenan) no. 6/U.P./49 tgl. 23 Agustus 1949.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
41,38,,121302.0,,38.0,,"Yusuf Surjoprayitno, pegawai Setneg kepada Setneg: Surat tgl. 5 Oktober 1949 tentang permohonan perpanjangan waktu libur.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
42,39,,121302.0,,39.0,,Daftar Riwayat Hidup Pegawai Setneg tgl. 1 April 1947-8 Oktober 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep, salinan",,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
43,40,,121302.0,,40.0,,"Kementerian Perburuhan dan Sosial: Surat tgl. 9 November 1949 tentang pegawai Setneg yang ikut kursus administrasi pegawai rendah, disertai lampiran.",Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
44,41,,121302.0,,41.0,,"Surat-surat Keterangan Pegawai Setneg berkenaan dengan tugas kantor, 29 September 1948-24 Desember 1949.",Item,10 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
45,,121303.0,121300.0,,,,C. KEUANGAN,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
46,42,,121303.0,,42.0,,Daftar Ongkos Perjalanan Pegawai Setneg tgl. 15 Oktober 1947-3 November 1947.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
47,43,,121303.0,,43.0,,Setneg kepada Kementerian Keuangan: Surat tgl. 15 Desember 1948 tentang pengiriman rencana anggaran belanja tahun 1949.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
48,44,,121303.0,,44.0,,Kepala Intendance Istana Presidenan: Daftar pemasukan dan pengeluaran uang untuk peryaan 17 Agustus 1949 di Istana Presidenan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
49,45,,121303.0,,45.0,,Pembangungan-OpBOW: Bon-bon pembelian bulan Oktober 1949 tentang pembelian barang.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
50,46,,121303.0,,46.0,,Ny. Kasm (?) kepada Setneg: Surat Desember 1949 tentang permohonan mendapat uang gaji bulan November dan Desember 1949.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
51,47,,121303.0,,47.0,,Kementerian Keuangan kepada Setneg: Surat tgl. 20 Desember 1949 tentang kredit Setneg pada Bank Negara Indonesia.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
52,48,,121303.0,,48.0,,Setneg kepada Kementerian Keuangan: Surat-surat tgl. 12 Juli 1949-21 Februari 1950 tentang permintaan kredit anggaran kepada Kementerian Keuangan.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
53,,121304.0,121300.0,,,,D. HUBUNGAN MASYARAKAT,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
54,,121305.0,121304.0,,,,1. Protokoler,,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
55,49,,121305.0,,49.0,,Menteri Luar Negeri kepada Kolonel Vanderpost d/a Setneg di Jogjakarta: Telegram no. 551/11/47=S tgl. 21 April 1947 tentang pergantian tanggan keberangkatan kapal yang meninggalkan Kolombo.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
56,50,,121305.0,,50.0,,Presiden kepada Presiden Negara Indonesia Timur: Surat tgl. 28 Februari 1948 tentang kunjungan Komisi Parlementer Negara Indonesia Timur.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
57,51,,121305.0,,51.0,,Panglima Tertinggi Angkatan Perang RI kepada Panglima Besar Angkatan Perang Mobil: Surat Perintah No. 6/P.T./48 tgl. 25 Maret 1948 tentang rencana makan malam bersama dengan Opsir-opsir dari Staf Angkatan Perang Mobil di Presidenan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
58,52,,121305.0,,52.0,,Daftar-daftar Pembesar yang diundang pada Jamuan Makan Malam di Presidenan tgl. 17 Juli 1949 menyambut Dr. Van Royen cs.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
59,53,,121305.0,,53.0,,Panitia Pusat Peringatan 17 Agustus 1949 kepada Ajudan Presiden: Surat tgl. 15 Agustus 1949 tentang pelayan-pelayan untuk Jamuan Resepsi tgl 17 Agustus 1949 malam.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
60,54,,121305.0,,54.0,,Mr. Iwa Kusuma Sumatri kepada Setneg: Surat-menyurat tgl. 17 dan 18 Agustus 1949 tentang penolakan Nyonya Iwa Kusuma Sumatri menghadiri Upacara Bendera.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
61,55,,121305.0,,55.0,,Sekretaris Dewan Menteri kepada Badan Pekerja Nasional Pusat: Surat-menyurat tgl. 23 dan 24 September 1949 tentang penyambutan Anggota Kongres USA.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
62,56,,121305.0,,56.0,,Surat-surat dan Telegram tgl. 29 April 1948-29 September 1949 tentang peringatan dan ucapan selamat hari-hari besar.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
63,57,,121305.0,,57.0,,Rencana Press Release berhubung dengan Hari Angkatan Perang RI tgl. 1 Oktober 1949.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
64,58,,121305.0,,58.0,,Surat-surat dan telegram-telegram tgl. 12 Februari 1948-6 Oktober 1949 tentang kunjungan-kunjungan ke daerah.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
65,59,,121305.0,,59.0,,Pimpinan Redaksi Harian Pagi Nasional kepada Presiden: Surat tgl. 31 Oktober 1949 tentang Hari Ulang Tahun ke-3 Harian Pagi Nasional.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
66,60,,121305.0,,60.0,,Surat-surat dan telegram-telegram tgl. 21 Maret 1948-1949 tentang pemberitahuan meninggal dunia dan ucapan turut berduka-cita.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
67,61,,121305.0,,61.0,,"Surat-surat dan telegram-telegram tgl. 4 Juni 1946-16 Desember 1949 tentang undangan-undangan kenegaraan, resepsi dan pertunjukan amal.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
68,,121306.0,121304.0,,,,2. Hubungan Pribadi,,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
69,62,,121306.0,,62.0,,Rencana pekerjaan yang dapat dikerjakan di Daerah Kediri yang dibuat oleh Karmidi di Kediri tgl. 39 Januari 1948.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Turunan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
70,63,,121306.0,,63.0,,"M. Djoni, bekas Internering dari Boven Digul tahun 1939: Surat tgl. 15 Februari 1948 tentang ikut rombongan Pemerintah RI dengan kapal terbang ke Medan.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
71,64,,121306.0,,64.0,,Surat-surat dan Telegram-telegram tgl. 4 Agustus 1948-14 Agustus 1948 tentang ucapan Selamat Hari Raya Idul Fitri.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
72,65,,121306.0,,65.0,,Telegram-telegram tgl. 15 Juni 1948-15 Oktober 1948 tentang Keluarga Mr. Ratmoko.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, tembusan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
73,66,,121306.0,,66.0,,Arifin Harahap kepada Setneg: Telegram No. 1044/s/Del. tgl. 20 Oktober 1948 tentang permohonan alamat anaknya Dr. Soeatmadji.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
74,67,,121306.0,,67.0,,A. Ruslan di Jln. Karang Anyar No. 23 Sampit Kalimantan kepada Setneg: Surat tahun 1949 tentang permintaan gambar-gambar orang terkemuka dari RIS.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,N.B.: Tanpa tanggal,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
